exp_strain,exp_stress
0.05750338,511.726967
0.057596817,511.8371349
0.057689401,511.9389384
0.057782856,512.0358857
0.057875888,512.1242523
0.057968929,512.2082069
0.058061117,512.2794195
0.058154606,512.3587198
0.058246811,512.4386587
0.058339024,512.505419
0.058431247,512.5721582
0.058522184,512.6220022
0.058613561,512.6803754
0.058704946,512.7474963
0.05879634,512.8321287
0.058888604,512.9031467
0.058981308,512.9783039
0.059072727,513.0409566
0.059165448,513.1073068
0.059258178,513.1999222
0.05935221,513.283086
0.059446683,513.3835245
0.059542027,513.4703525
0.059637381,513.5440163
0.059733175,513.6086772
0.059828546,513.6822951
0.059924359,513.7381554
0.060020612,513.7981514
0.060116875,513.8537491
0.060213147,513.8918191
0.060308996,513.9475999
0.060404422,513.9773264
0.06050029,514.0111915
0.060596167,514.0669166
0.060691189,514.1274405
0.060787084,514.1831249
0.060882989,514.2519111
0.060978038,514.312372
0.061072664,514.359915
0.061167732,514.4115903
0.061262376,514.4590965
0.061356597,514.5111787
0.061451259,514.567391
0.061544633,514.6155088
0.061638881,514.6631636
0.061732705,514.7110228
0.06182697,514.7630112
0.061921245,514.81935
0.062015528,514.893145
0.062110252,514.9535885
0.062204553,515.0098659
0.062299296,515.0790039
0.062393182,515.1398307
0.062487509,515.200414
0.062582279,515.2432878
0.062676191,515.277858
0.062770113,515.3255097
0.06286361,515.3733665
0.062957116,515.4037458
0.063050198,515.4474269
0.063143722,515.50396
0.063236821,515.5432421
0.063330362,515.5822847
0.063423479,515.6084458
0.063516171,515.6479037
0.063609305,515.678398
0.063701581,515.7049629
0.063794299,515.7225683
0.063886159,515.7667733
0.063978895,515.8105145
0.064071638,515.8324386
0.06416309,515.872459
0.064255851,515.920511
0.064349054,515.9813979
0.064441398,516.0034864
0.064534185,516.0427702
0.064625679,516.0434909
0.064715014,515.9886782
0.064885465,515.72212
0.065039026,515.2117079
0.065226454,513.9567283
0.065976085,496.3388169
